COVID_VACCINE_PROD_DATE_AUTH,COVID_VACCINE_PROD_DATE_END,COVID_VACCINE_PROD_DATE_START,COVID_VACCINE_PROD_DISPLAY,COVID_VACCINE_PROD_MANU_NAME,COVID_VACCINE_PROD_NAME,COVID_VACCINE_PROD_SOURCE,ISO3
,,,AstraZeneca - AZD1222,AstraZeneca,AZD1222,OWID,SHN
,,,Moderna - mRNA-1273,Moderna,mRNA-1273,OWID,GRL
,,,Moderna - mRNA-1273,Moderna,mRNA-1273,OWID,FRO
,,,Pfizer BioNTech - Comirnaty,Pfizer BioNTech,Comirnaty,OWID,FRO
,,,Moderna - mRNA-1273,Moderna,mRNA-1273,OWID,JEY
,,,AstraZeneca - AZD1222,AstraZeneca,AZD1222,OWID,JEY
,,,Pfizer BioNTech - Comirnaty,Pfizer BioNTech,Comirnaty,OWID,JEY
,,,AstraZeneca - AZD1222,AstraZeneca,AZD1222,OWID,BIH
,,,Pfizer BioNTech - Comirnaty,Pfizer BioNTech,Comirnaty,OWID,BIH
,,,Sinovac - CoronaVac,Sinovac,Coronavac,OWID,BIH
,,,Moderna - mRNA-1273,Moderna,mRNA-1273,OWID,GGY
,,,AstraZeneca - AZD1222,AstraZeneca,AZD1222,OWID,GGY
,,,Pfizer BioNTech - Comirnaty,Pfizer BioNTech,Comirnaty,OWID,GGY
,,,Pfizer BioNTech - Comirnaty,Pfizer BioNTech,Comirnaty,OWID,TUR
,,,Sinovac - CoronaVac,Sinovac,Coronavac,OWID,TUR
,,,Turkovac,,,OWID,TUR
,,,SRCVB - EpiVacCorona,State Research Center of Virology & Biotechnology,EpiVacCorona,OWID,RUS
,,,AstraZeneca - AZD1222,AstraZeneca,AZD1222,OWID,GIB
,,,Pfizer BioNTech - Comirnaty,Pfizer BioNTech,Comirnaty,OWID,GIB
,,,Moderna - mRNA-1273,Moderna,mRNA-1273,OWID,IMN
,,,AstraZeneca - AZD1222,AstraZeneca,AZD1222,OWID,IMN
,,,Pfizer BioNTech - Comirnaty,Pfizer BioNTech,Comirnaty,OWID,IMN
,,,AstraZeneca - AZD1222,AstraZeneca,AZD1222,OWID,FLK
,,,Anhui ZL - Zifivax,Anhui Zhifei Longcom Biopharmaceutical,Zifivax,REPORTING,TKM
,,,Anhui ZL - Zifivax,Anhui Zhifei Longcom Biopharmaceutical,Zifivax,REPORTING,CHN
,,,Anhui ZL - Zifivax,Anhui Zhifei Longcom Biopharmaceutical,Zifivax,REPORTING,UZB
,,2021-01-06,Shenzhen - LV-SMENP-DC,Shenzhen GenoImmune Medical Institute,LV-SMENP-DC,REPORTING,CHN
,,,Valneva - VLA2001,Valneva,VLA2001,REPORTING,DEU
,,,Valneva - VLA2001,Valneva,VLA2001,REPORTING,AUT
,,,Finlay - Soberana-02,Instituto Finlay de Vacunas,Soberana-02,REPORTING,CUB
,,,Finlay - Soberana-02,Instituto Finlay de Vacunas,Soberana-02,REPORTING,NIC
,,,Finlay - Soberana-02,Instituto Finlay de Vacunas,Soberana-02,REPORTING,IRN
,,,Finlay - Soberana-02,Instituto Finlay de Vacunas,Soberana-02,REPORTING,VEN
2021-09-06,,2021-09-06,IMB - Covidful,Insitute of Medical Biology,Covidful,REPORTING,CHN
,,,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,ARM
,,2021-01-08,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,VNM
,,,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,YEM
,,2021-07-04,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,KAZ
,,,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,TKM
,,,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,OMN
,,2021-04-05,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,PHL
2021-03-02,,2021-09-02,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,LAO
,,2021-05-03,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,GIN
2021-09-02,,2021-02-03,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,GHA
2021-03-02,,2021-01-04,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,SYR
,,2021-01-03,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,CIV
2021-01-01,,,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,VEN
,,,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,LBN
2021-04-03,,2021-06-05,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,LKA
,,,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,PRY
2021-02-02,,2021-03-03,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,NIC
,,,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,MDV
,,,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,JOR
,,2021-09-02,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,IRN
,,,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,KWT
,,,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,MNE
,,,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,BGD
,,2021-06-01,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,SRB
,,,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,UZB
2021-06-02,,,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,MNG
,,2021-03-02,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,PAK
,,,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,SAU
2021-10-01,,,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,DZA
,,,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,RWA
,,,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,SDN
2021-12-04,,,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,IND
,,,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,ALB
,,2021-11-04,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,LBY
,,2021-01-02,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,VCT
,,,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,HND
,,,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,ATG
,,,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,NPL
,,2021-10-03,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,MKD
,,2021-03-02,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,BLR
,,,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,ARG
,,,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,SYC
,,,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,GTM
,,,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,QAT
,,2021-02-03,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,IRQ
2020-03-11,,2020-04-11,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,BHR
2021-02-04,,2021-02-04,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,GUY
,,,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,SOM
,,,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,ARE
,,,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,BOL
,,,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,MAR
,,,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,KGZ
,,2021-10-02,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,HUN
2021-11-01,,,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,TUN
,,2021-05-05,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,MDA
,,,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,AFG
,,,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,SVK
2021-09-02,,,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,MEX
,,,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,TJK
2021-03-03,,,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,COG
,,,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,EGY
,,,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,GAB
,,,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,ZWE
,,2021-02-02,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,PSE
,,,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,DJI
,,,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,MYS
,,,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,SMR
,,,Gamaleya - Gam-Covid-Vac,Gamaleya Research Institute,Gam-Covid-Vac,REPORTING,AZE
,,,RIBSP - QazVac,Research Institute for Biological Safety Problems,QazVac,REPORTING,KAZ
,,,RIBSP - QazVac,Research Institute for Biological Safety Problems,QazVac,REPORTING,TKM
,,,RIBSP - QazVac,Research Institute for Biological Safety Problems,QazVac,REPORTING,KGZ
2021-05-03,,,Beijing CNBG - BBIBP-CorV,Beijing Bio-Institute Biological Products (CNBG),BBIBP-CorV,REPORTING,ETH
